time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-06 00:00:00+00:00,2,2,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,5,5,3,1
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,2,1,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
